nombre,departamento,salario,antiguedad_anios,bono
Ana Garcia,IT,18153.54,4,1512.13
Beto Sanchez,RH,17656.13,13,1334.61
Carla Lopez,RH,18596.08,2,1314.74
Daniel Perez,Operaciones,15609.87,8,1383.46
Elena Ramirez,Operaciones,12864.65,5,517.73
Fernando Cruz,Operaciones,14657.59,14,1159.07
Gabriela Diaz,RH,14247.59,14,1213.63
Hector Morales,RH,18716.04,9,
Irene Castro,Operaciones,12480.76,6,586.73
Jorge Vargas,RH,17368.03,3,911.48
Karla Nunez,Finanzas,22122.69,12,2169.24
Luis Reyes,Finanzas,23556.72,14,1544.19
Marta Flores,RH,13086.69,11,628.91
Nestor Gomez,RH,17694.0,0,1013.48
Olivia Rios,Operaciones,11138.84,9,708.16
Pablo Herrera,Ventas,12929.25,10,655.7
Quetzal Soto,RH,13013.39,6,
Renata Aguilar,IT,20471.63,11,1983.29
Samuel Chavez,Operaciones,13736.79,1,393.52
Teresa Molina,Finanzas,18293.82,2,1528.25
Ulises Pena,Ventas,19990.93,12,
Valeria Guzman,Finanzas,25701.71,0,2286.7
Walter Medina,Finanzas,25222.59,14,607.49
Ximena Rojas,RH,13897.41,5,1073.85
Yolanda Campos,Ventas,15627.11,13,863.98
