prestamo_id,isbn,usuario,fecha_prestamo,fecha_devolucion
28,978-600000814,  tomas vega,2024-01-01,2024-02-07
42,978-600000518,Ivan Rios,2024-01-01,2024-02-14
89,978-600000740,Diego Paz,2024-01-01,2024-01-09
153,978-600000814,IVAN RIOS ,2024-01-02,2024-01-10
178,978-600001073,TOMAS VEGA ,2024-01-04,2024-02-14
230,978-600000148,Ivan Rios,2024-01-04,2024-02-03
96,978-600001221,Tomas Vega,2024-01-09,
79,978-600000444,Elena Ortiz,2024-01-10,
48,978-600000370,Sofia Leon,2024-01-11,2024-02-24
133,978-600001036,Elena Ortiz,2024-01-12,2024-02-11
257,978-600000222,Paula Nieto,2024-01-13,2024-02-04
46,978-600000407,Carla Ruiz,2024-01-15,2024-02-16
241,978-600000851,Carla Ruiz,2024-01-16,2024-02-29
144,978-600001036,MARCO SILVA ,2024-01-18,2024-02-16
158,978-600000592,  paula nieto,2024-01-18,2024-01-24
259,978-600000555,  ivan rios,2024-01-18,2024-02-10
137,978-600000037,CARLA RUIZ ,2024-01-20,2024-02-11
197,978-600000111,Sofia Leon,2024-01-20,2024-02-12
203,978-600000222,Ivan Rios,2024-01-21,2024-02-01
57,978-600000148,DIEGO PAZ ,2024-01-22,
97,978-600001406,  diego paz,2024-01-22,2024-02-17
76,978-600000999,Elena Ortiz,2024-01-23,2024-02-10
219,978-600000333,IVAN RIOS ,2024-01-24,2024-01-27
242,978-600001517,Ana Torres,2024-01-24,2024-03-04
1,978-600000777,Carla Ruiz,2024-01-25,2024-03-02
215,978-600000222,IVAN RIOS ,2024-01-25,2024-03-01
247,978-600000851,Elena Ortiz,2024-01-25,2024-02-20
189,978-600001110,  carla ruiz,2024-01-27,2024-03-11
25,978-600001221,Tomas Vega,2024-01-28,2024-03-06
84,978-600000333,Paula Nieto,2024-01-28,
150,978-600001443,Carla Ruiz,2024-01-31,2024-03-02
130,978-600000518,PAULA NIETO ,2024-02-01,2024-03-11
58,978-600001221,Ivan Rios,2024-02-02,2024-03-15
15,978-600000666,Ivan Rios,2024-02-03,2024-02-25
116,978-600000037,ELENA ORTIZ ,2024-02-03,2024-03-14
161,978-600000740,Ana Torres,2024-02-03,2024-02-20
205,978-600000925,  carla ruiz,2024-02-03,
29,978-600000259,Marco Silva,2024-02-06,
11,978-600001073,Elena Ortiz,2024-02-07,2024-03-07
134,978-600001147,Tomas Vega,2024-02-07,2024-03-14
177,978-600001443,TOMAS VEGA ,2024-02-08,2024-02-22
239,978-600000518,Paula Nieto,2024-02-09,2024-02-22
121,978-600001332,SOFIA LEON ,2024-02-11,2024-03-11
74,978-600001517,Luis Mendez,2024-02-12,2024-02-29
32,978-600001110,Ivan Rios,2024-02-13,2024-03-08
108,978-600001332,Diego Paz,2024-02-13,
168,978-600000259,LUIS MENDEZ ,2024-02-13,2024-03-13
3,978-600001036,  paula nieto,2024-02-16,2024-02-22
35,978-600001258,Elena Ortiz,2024-02-16,2024-03-06
250,978-600001295,TOMAS VEGA ,2024-02-16,2024-03-08
100,978-600000185,Sofia Leon,2024-02-17,2024-02-24
249,978-600000999,Ana Torres,2024-02-20,2024-02-26
174,978-600001221,SOFIA LEON ,2024-02-21,2024-02-26
265,978-600000629,LUIS MENDEZ ,2024-02-22,2024-03-05
26,978-600000962,Paula Nieto,2024-02-23,2024-03-22
227,978-600000592,  carla ruiz,2024-02-23,2024-04-01
56,978-600001332,Ivan Rios,2024-02-24,
240,978-600000370,  ana torres,2024-02-24,2024-03-08
135,978-600001110,IVAN RIOS ,2024-02-25,2024-03-08
69,978-600000703,Sofia Leon,2024-02-27,
31,978-600001443,Marco Silva,2024-02-29,
6,978-600000703,  paula nieto,2024-03-01,2024-04-08
107,978-600001110,Ivan Rios,2024-03-01,
43,978-600000851,Luis Mendez,2024-03-02,
170,978-600000592,Sofia Leon,2024-03-03,
154,978-600000851,Paula Nieto,2024-03-04,2024-03-20
232,978-600000629,Diego Paz,2024-03-04,2024-03-23
202,978-600001147,  paula nieto,2024-03-06,2024-04-01
51,978-600000777,Elena Ortiz,2024-03-08,2024-04-02
169,978-600001184,IVAN RIOS ,2024-03-09,2024-04-20
221,978-600000999,Tomas Vega,2024-03-09,2024-04-20
20,978-600000962,SOFIA LEON ,2024-03-11,
64,978-600000370,  marco silva,2024-03-11,
49,978-600000259,Sofia Leon,2024-03-12,2024-03-27
91,978-600000222,Elena Ortiz,2024-03-14,2024-03-19
94,978-600000370,Elena Ortiz,2024-03-15,2024-04-19
54,978-600000444,  tomas vega,2024-03-17,2024-04-19
196,978-600000407,Paula Nieto,2024-03-17,2024-04-01
22,978-600000555,  carla ruiz,2024-03-18,2024-04-04
183,978-600000259,Paula Nieto,2024-03-20,2024-03-28
263,978-600000740,TOMAS VEGA ,2024-03-20,
273,978-600000999,Diego Paz,2024-03-21,2024-04-20
166,978-600000222,SOFIA LEON ,2024-03-22,2024-03-29
33,978-600000629,Ivan Rios,2024-03-23,2024-04-08
125,978-600000962,LUIS MENDEZ ,2024-03-23,2024-04-27
210,978-600000111,DIEGO PAZ ,2024-03-23,2024-04-12
264,978-600000777,Tomas Vega,2024-03-23,2024-04-07
151,978-600000777,Luis Mendez,2024-03-25,2024-04-08
283,978-600000555,Paula Nieto,2024-03-25,2024-04-01
