fecha,producto,categoria,region,vendedor,monto
2024-01-02,Pantalon,Ropa,Centro,Carla Ruiz,685.87
2024-01-08,Playera,Ropa,Centro,Luis Mendez,183.91
2024-01-09,Mochila,Accesorios,Occidente,Diego Paz,442.34
2024-01-10,Termo,Accesorios,Sur,Elena Ortiz,157.59
2024-01-11,Sandalias,Calzado,Sur,Luis Mendez,345.28
2024-01-13,Termo,Accesorios,Norte,Ana Torres,313.66
2024-01-14,Playera,Ropa,Occidente,Carla Ruiz,296.08
2024-01-15,Gorra,Accesorios,Norte,Diego Paz,196.69
2024-01-18,Termo,Accesorios,Occidente,Ana Torres,199.52
2024-01-19,Termo,Accesorios,Centro,Diego Paz,243.45
2024-01-19,Gorra,Accesorios,Occidente,Elena Ortiz,201.96
2024-01-20,Termo,Accesorios,Centro,Carla Ruiz,205.52
2024-01-22,Termo,Accesorios,Norte,Carla Ruiz,200.2
2024-01-23,Mochila,Accesorios,Sur,Luis Mendez,351.8
2024-01-25,Gorra,Accesorios,Sur,Ana Torres,179.93
2024-01-25,Tenis,Calzado,Norte,Diego Paz,1112.24
2024-01-27,Mochila,Accesorios,Norte,Elena Ortiz,443.24
2024-01-31,Tenis,Calzado,Norte,Ana Torres,813.64
2024-02-01,Sandalias,Calzado,Occidente,Carla Ruiz,436.8
2024-02-02,Mochila,Accesorios,Sur,Luis Mendez,441.3
2024-02-02,Playera,Ropa,Occidente,Carla Ruiz,250.47
2024-02-06,Pantalon,Ropa,Sur,Luis Mendez,507.46
2024-02-10,Tenis,Calzado,Sur,Luis Mendez,875.25
2024-02-10,Termo,Accesorios,Centro,Ana Torres,176.49
2024-02-14,Sandalias,Calzado,Sur,Carla Ruiz,438.32
2024-02-14,Termo,Accesorios,Centro,Ana Torres,220.3
2024-02-15,Sandalias,Calzado,Occidente,Elena Ortiz,334.65
2024-02-17,Sandalias,Calzado,Sur,Diego Paz,386.27
2024-02-18,Gorra,Accesorios,Sur,Carla Ruiz,218.38
2024-02-20,Sandalias,Calzado,Sur,Diego Paz,480.49
2024-02-21,Pantalon,Ropa,Norte,Diego Paz,443.09
2024-02-24,Tenis,Calzado,Occidente,Ana Torres,795.45
2024-02-24,Termo,Accesorios,Occidente,Carla Ruiz,251.06
2024-02-27,Sudadera,Ropa,Centro,Ana Torres,514.93
2024-02-29,Tenis,Calzado,Occidente,Diego Paz,1333.4
2024-03-01,Gorra,Accesorios,Centro,Luis Mendez,236.32
2024-03-01,Gorra,Accesorios,Sur,Diego Paz,154.27
2024-03-03,Pantalon,Ropa,Sur,Carla Ruiz,672.91
2024-03-04,Pantalon,Ropa,Sur,Luis Mendez,452.29
2024-03-05,Gorra,Accesorios,Occidente,Diego Paz,169.03
2024-03-06,Sandalias,Calzado,Norte,Luis Mendez,423.25
2024-03-06,Gorra,Accesorios,Occidente,Luis Mendez,200.13
2024-03-09,Playera,Ropa,Centro,Diego Paz,195.62
2024-03-11,Pantalon,Ropa,Norte,Elena Ortiz,477.91
2024-03-12,Mochila,Accesorios,Norte,Elena Ortiz,459.86
2024-03-13,Tenis,Calzado,Sur,Elena Ortiz,809.16
2024-03-15,Sudadera,Ropa,Centro,Ana Torres,706.0
2024-03-15,Mochila,Accesorios,Sur,Carla Ruiz,489.41
2024-03-17,Termo,Accesorios,Occidente,Ana Torres,313.0
2024-03-19,Sudadera,Ropa,Norte,Elena Ortiz,524.43
2024-03-22,Sudadera,Ropa,Sur,Elena Ortiz,664.82
2024-03-22,Tenis,Calzado,Norte,Diego Paz,1315.04
2024-03-24,Termo,Accesorios,Centro,Diego Paz,262.78
2024-03-26,Pantalon,Ropa,Sur,Luis Mendez,605.3
2024-03-27,Pantalon,Ropa,Sur,Luis Mendez,402.56
2024-03-27,Pantalon,Ropa,Centro,Luis Mendez,474.66
2024-03-29,Playera,Ropa,Centro,Diego Paz,327.58
2024-03-30,Mochila,Accesorios,Occidente,Ana Torres,673.93
2024-03-31,Gorra,Accesorios,Occidente,Diego Paz,135.61
2024-04-01,Sudadera,Ropa,Sur,Elena Ortiz,777.18
2024-04-03,Tenis,Calzado,Occidente,Ana Torres,1118.84
2024-04-04,Pantalon,Ropa,Sur,Carla Ruiz,605.84
2024-04-05,Tenis,Calzado,Sur,Diego Paz,1026.41
2024-04-05,Sudadera,Ropa,Occidente,Elena Ortiz,695.9
2024-04-07,Gorra,Accesorios,Centro,Elena Ortiz,131.0
2024-04-10,Sandalias,Calzado,Norte,Carla Ruiz,439.71
2024-04-12,Sudadera,Ropa,Norte,Luis Mendez,764.65
2024-04-17,Sandalias,Calzado,Sur,Elena Ortiz,407.54
2024-04-18,Termo,Accesorios,Centro,Ana Torres,210.17
2024-04-19,Playera,Ropa,Occidente,Luis Mendez,215.64
2024-04-20,Sudadera,Ropa,Norte,Luis Mendez,542.51
2024-04-22,Sandalias,Calzado,Norte,Elena Ortiz,418.29
2024-04-23,Sudadera,Ropa,Occidente,Carla Ruiz,880.4
2024-04-25,Sudadera,Ropa,Sur,Diego Paz,702.51
2024-04-26,Gorra,Accesorios,Occidente,Ana Torres,229.95
2024-04-27,Pantalon,Ropa,Occidente,Diego Paz,650.08
2024-04-28,Sandalias,Calzado,Sur,Carla Ruiz,336.85
2024-04-29,Mochila,Accesorios,Sur,Luis Mendez,481.15
2024-05-01,Sudadera,Ropa,Norte,Elena Ortiz,802.53
2024-05-04,Sandalias,Calzado,Norte,Carla Ruiz,293.93
2024-05-04,Sandalias,Calzado,Norte,Elena Ortiz,488.63
2024-05-07,Sudadera,Ropa,Occidente,Luis Mendez,807.52
2024-05-08,Gorra,Accesorios,Sur,Diego Paz,249.96
2024-05-08,Playera,Ropa,Occidente,Luis Mendez,183.7
2024-05-10,Termo,Accesorios,Occidente,Ana Torres,209.51
2024-05-12,Tenis,Calzado,Occidente,Elena Ortiz,1014.39
2024-05-13,Sandalias,Calzado,Occidente,Elena Ortiz,441.68
2024-05-14,Sandalias,Calzado,Occidente,Diego Paz,321.92
2024-05-17,Playera,Ropa,Centro,Luis Mendez,291.46
2024-05-20,Sandalias,Calzado,Occidente,Carla Ruiz,312.73
2024-05-26,Gorra,Accesorios,Norte,Diego Paz,144.53
2024-05-29,Mochila,Accesorios,Occidente,Luis Mendez,656.77
2024-06-04,Tenis,Calzado,Sur,Carla Ruiz,1292.51
2024-06-07,Sandalias,Calzado,Occidente,Ana Torres,469.68
2024-06-08,Playera,Ropa,Centro,Ana Torres,309.5
2024-06-10,Sudadera,Ropa,Centro,Luis Mendez,721.19
2024-06-11,Playera,Ropa,Centro,Luis Mendez,259.99
2024-06-12,Playera,Ropa,Sur,Luis Mendez,275.35
2024-06-15,Sudadera,Ropa,Centro,Diego Paz,503.03
2024-06-16,Sandalias,Calzado,Centro,Ana Torres,345.3
2024-06-17,Tenis,Calzado,Sur,Ana Torres,1143.34
2024-06-18,Mochila,Accesorios,Centro,Carla Ruiz,618.76
2024-06-18,Gorra,Accesorios,Occidente,Diego Paz,160.78
2024-06-25,Pantalon,Ropa,Norte,Elena Ortiz,701.94
2024-06-26,Pantalon,Ropa,Sur,Carla Ruiz,413.03
2024-06-28,Tenis,Calzado,Occidente,Luis Mendez,723.5
2024-06-29,Termo,Accesorios,Centro,Elena Ortiz,271.72
2024-06-30,Tenis,Calzado,Centro,Luis Mendez,667.37
2024-07-01,Playera,Ropa,Occidente,Ana Torres,227.84
2024-07-01,Pantalon,Ropa,Centro,Carla Ruiz,483.3
2024-07-01,Playera,Ropa,Centro,Luis Mendez,216.6
2024-07-02,Sandalias,Calzado,Occidente,Elena Ortiz,408.26
2024-07-03,Sudadera,Ropa,Centro,Elena Ortiz,845.4
2024-07-06,Mochila,Accesorios,Occidente,Luis Mendez,478.64
2024-07-09,Mochila,Accesorios,Norte,Ana Torres,699.58
2024-07-10,Pantalon,Ropa,Sur,Luis Mendez,727.86
2024-07-12,Termo,Accesorios,Sur,Elena Ortiz,264.83
2024-07-17,Gorra,Accesorios,Norte,Elena Ortiz,196.0
2024-07-18,Pantalon,Ropa,Centro,Carla Ruiz,626.2
2024-07-19,Termo,Accesorios,Norte,Elena Ortiz,243.72
2024-07-20,Tenis,Calzado,Norte,Elena Ortiz,683.94
2024-07-23,Termo,Accesorios,Sur,Diego Paz,157.02
2024-07-23,Mochila,Accesorios,Norte,Diego Paz,382.35
2024-07-29,Sudadera,Ropa,Occidente,Ana Torres,536.87
2024-07-29,Pantalon,Ropa,Sur,Diego Paz,615.74
2024-08-02,Playera,Ropa,Norte,Elena Ortiz,304.82
2024-08-03,Termo,Accesorios,Norte,Luis Mendez,242.3
2024-08-04,Pantalon,Ropa,Occidente,Elena Ortiz,594.06
2024-08-04,Tenis,Calzado,Occidente,Carla Ruiz,1164.03
2024-08-09,Termo,Accesorios,Occidente,Ana Torres,242.97
2024-08-09,Playera,Ropa,Sur,Elena Ortiz,327.82
2024-08-10,Gorra,Accesorios,Occidente,Elena Ortiz,150.33
2024-08-11,Sudadera,Ropa,Centro,Ana Torres,803.65
2024-08-18,Playera,Ropa,Occidente,Carla Ruiz,215.74
2024-08-18,Gorra,Accesorios,Centro,Diego Paz,243.34
2024-08-19,Pantalon,Ropa,Norte,Luis Mendez,442.29
2024-08-19,Termo,Accesorios,Norte,Elena Ortiz,201.34
2024-08-21,Gorra,Accesorios,Centro,Ana Torres,221.28
2024-08-23,Sandalias,Calzado,Occidente,Elena Ortiz,328.05
2024-08-26,Pantalon,Ropa,Occidente,Luis Mendez,431.91
2024-08-29,Termo,Accesorios,Sur,Diego Paz,267.38
2024-09-01,Sandalias,Calzado,Sur,Carla Ruiz,372.04
2024-09-07,Sudadera,Ropa,Sur,Carla Ruiz,898.88
2024-09-08,Tenis,Calzado,Occidente,Luis Mendez,948.36
2024-09-10,Termo,Accesorios,Occidente,Carla Ruiz,260.2
2024-09-10,Termo,Accesorios,Sur,Luis Mendez,241.1
2024-09-11,Tenis,Calzado,Centro,Carla Ruiz,853.33
2024-09-12,Gorra,Accesorios,Centro,Luis Mendez,217.18
2024-09-12,Pantalon,Ropa,Norte,Carla Ruiz,639.24
2024-09-12,Termo,Accesorios,Occidente,Ana Torres,240.02
2024-09-13,Mochila,Accesorios,Occidente,Carla Ruiz,681.47
2024-09-17,Gorra,Accesorios,Occidente,Carla Ruiz,205.87
2024-09-17,Sudadera,Ropa,Norte,Carla Ruiz,810.31
2024-09-19,Pantalon,Ropa,Sur,Ana Torres,595.11
2024-09-19,Tenis,Calzado,Sur,Luis Mendez,1065.39
2024-09-20,Gorra,Accesorios,Sur,Diego Paz,149.36
2024-09-24,Pantalon,Ropa,Occidente,Diego Paz,449.84
2024-09-24,Gorra,Accesorios,Sur,Ana Torres,175.22
2024-09-24,Sudadera,Ropa,Centro,Ana Torres,608.35
2024-09-25,Mochila,Accesorios,Centro,Luis Mendez,430.97
2024-09-26,Termo,Accesorios,Centro,Diego Paz,239.37
2024-09-28,Termo,Accesorios,Norte,Luis Mendez,262.41
2024-09-30,Mochila,Accesorios,Centro,Ana Torres,612.13
2024-10-02,Sudadera,Ropa,Centro,Luis Mendez,625.87
2024-10-04,Pantalon,Ropa,Occidente,Diego Paz,454.26
2024-10-04,Gorra,Accesorios,Norte,Elena Ortiz,171.09
2024-10-06,Mochila,Accesorios,Occidente,Carla Ruiz,541.85
2024-10-06,Mochila,Accesorios,Norte,Carla Ruiz,690.29
2024-10-06,Playera,Ropa,Sur,Luis Mendez,267.48
2024-10-08,Pantalon,Ropa,Norte,Ana Torres,685.04
2024-10-10,Sudadera,Ropa,Occidente,Diego Paz,823.1
2024-10-11,Termo,Accesorios,Sur,Elena Ortiz,195.58
2024-10-11,Sudadera,Ropa,Centro,Carla Ruiz,538.57
2024-10-11,Pantalon,Ropa,Occidente,Elena Ortiz,462.46
2024-10-14,Pantalon,Ropa,Sur,Carla Ruiz,601.04
2024-10-15,Pantalon,Ropa,Occidente,Elena Ortiz,735.8
2024-10-17,Sudadera,Ropa,Occidente,Carla Ruiz,631.59
2024-10-19,Sudadera,Ropa,Norte,Elena Ortiz,707.85
2024-10-28,Sudadera,Ropa,Sur,Ana Torres,667.11
2024-10-28,Sandalias,Calzado,Occidente,Diego Paz,382.48
2024-10-29,Playera,Ropa,Centro,Elena Ortiz,336.84
2024-10-31,Sandalias,Calzado,Occidente,Ana Torres,421.62
2024-11-01,Sandalias,Calzado,Occidente,Carla Ruiz,480.38
2024-11-03,Gorra,Accesorios,Centro,Diego Paz,150.55
2024-11-06,Playera,Ropa,Occidente,Carla Ruiz,283.32
2024-11-06,Sandalias,Calzado,Sur,Diego Paz,470.82
2024-11-09,Tenis,Calzado,Occidente,Diego Paz,871.0
2024-11-09,Mochila,Accesorios,Norte,Diego Paz,679.1
2024-11-10,Sandalias,Calzado,Centro,Luis Mendez,474.54
2024-11-11,Mochila,Accesorios,Centro,Carla Ruiz,516.03
2024-11-12,Playera,Ropa,Occidente,Carla Ruiz,192.12
2024-11-14,Tenis,Calzado,Occidente,Elena Ortiz,952.88
2024-11-14,Tenis,Calzado,Occidente,Carla Ruiz,1288.0
2024-11-14,Termo,Accesorios,Sur,Luis Mendez,294.11
2024-11-16,Playera,Ropa,Occidente,Elena Ortiz,200.65
2024-11-18,Playera,Ropa,Occidente,Diego Paz,240.46
2024-11-20,Tenis,Calzado,Occidente,Ana Torres,1039.79
2024-11-24,Termo,Accesorios,Occidente,Ana Torres,171.95
2024-11-27,Sandalias,Calzado,Occidente,Diego Paz,300.63
2024-11-28,Mochila,Accesorios,Sur,Elena Ortiz,614.09
2024-12-03,Sudadera,Ropa,Occidente,Diego Paz,539.82
2024-12-04,Tenis,Calzado,Sur,Luis Mendez,782.6
2024-12-05,Sandalias,Calzado,Centro,Ana Torres,281.79
2024-12-06,Sandalias,Calzado,Norte,Elena Ortiz,305.73
2024-12-06,Gorra,Accesorios,Norte,Ana Torres,149.88
2024-12-07,Playera,Ropa,Sur,Carla Ruiz,339.97
2024-12-09,Sudadera,Ropa,Centro,Carla Ruiz,838.62
2024-12-09,Sudadera,Ropa,Occidente,Diego Paz,754.55
2024-12-13,Sudadera,Ropa,Centro,Luis Mendez,581.43
2024-12-14,Sudadera,Ropa,Sur,Elena Ortiz,504.19
2024-12-14,Playera,Ropa,Sur,Ana Torres,315.94
2024-12-17,Sandalias,Calzado,Occidente,Ana Torres,360.45
2024-12-19,Mochila,Accesorios,Sur,Carla Ruiz,612.93
2024-12-23,Mochila,Accesorios,Occidente,Luis Mendez,653.67
2024-12-24,Sudadera,Ropa,Norte,Diego Paz,828.09
2024-12-25,Mochila,Accesorios,Norte,Carla Ruiz,552.63
2024-12-26,Mochila,Accesorios,Centro,Carla Ruiz,477.24
2024-12-26,Playera,Ropa,Sur,Ana Torres,242.56
2024-12-27,Mochila,Accesorios,Centro,Elena Ortiz,495.96
2024-12-29,Pantalon,Ropa,Occidente,Ana Torres,468.42
